id_anonimo,campus,tipo_campus,cargo,classe_cargo,nivel_pretendido,nivel_reconhecido,status
bc945fc2e90a0cf7,RE,Capital,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
3b8d475026888abf,RE,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
f0d7f66e204c2d71,SC,Interior,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
5b5f8e4259752a86,LAJ,Interior,Técnico em Contabilidade,Classe D,RSC-V,RSC-V,Deferido
11d93deba3030d6e,PAR,Interior,Assistente Social,Classe E,RSC-V,RSC-V,Deferido
6f7b3626046c9926,CNAT,Capital,Auxiliar De Eletricista,Classe D,RSC-III,RSC-III,Deferido
c6b1bc85385a5b16,CNAT,Capital,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
4f0db43492091d93,SPP,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
a33dccf19d754b2c,CNAT,Capital,Contador,Classe E,RSC-VI,RSC-VI,Deferido
73493e0000b24733,PF,Interior,Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,Deferido
5cc2f28fc07eb64c,PF,Interior,Médico,Classe E,RSC-V,RSC-V,Deferido
dc82a32d928d3852,CNAT,Capital,Psicólogo,Classe E,RSC-VI,RSC-VI,Deferido
86dc50aea6b5a682,MO,Interior,Médico,Classe E,RSC-V,RSC-V,Deferido
4edbb0078acd2bd8,CNAT,Capital,Assistente de Laboratório,Classe C,RSC-V,RSC-V,Deferido
13b1fe5787e55519,RE,Capital,Técnico De Tecnologia da Informação,Classe D,RSC-V,RSC-V,Deferido
1217d183539ab7eb,SGA,Interior,Bibliotecário-Documentalista,Classe E,RSC-V,RSC-V,Deferido
7260b4c58afd2182,PAR,Interior,Pedagogo,Classe E,RSC-VI,RSC-VI,Deferido
85db5ca0899c0fff,MC,Interior,Pedagogo,Classe E,RSC-VI,RSC-VI,Deferido
1699ac7ad3f0ef24,AP,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
50cbd7204bac2166,NC,Interior,Auxiliar em Administração,Classe C,RSC-III,RSC-III,Deferido
a6c4e088a294fcfe,RE,Capital,Auditor,Classe E,RSC-V,RSC-V,Deferido
73e39a84d43e65a8,MO,Interior,Servente De Limpeza,Classe D,RSC-V,RSC-V,Deferido
42faedaa412eb591,ZL,Capital,Auxiliar em Administração,Classe C,RSC-VI,RSC-VI,Deferido
74a6a7b0d011f8fb,LAJ,Interior,Administrador,Classe E,RSC-V,RSC-V,Deferido
acd74b07150ac906,NC,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
901fd28c65f806b4,CNAT,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
9b9d0b6606afa284,SGA,Interior,Psicólogo,Classe E,RSC-V,RSC-V,Deferido
44a4505558923ad9,CNAT,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
20bbc5a242e663bf,SGA,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
fb8a093ea5f90386,RE,Capital,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
1c5d6280fa0da685,CANG,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
2399f64338edaf1d,CNAT,Capital,Auxiliar de Enfermagem,Classe C,RSC-VI,RSC-VI,Deferido
8214bc7a8ba213b7,NC,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
1e90c5e7f83969bd,SGA,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
25f41a99c1fc47ca,CNAT,Capital,Tradutor e Intérprete de Libras,Classe D,RSC-VI,RSC-VI,Deferido
b264e6b2d4be07b0,IP,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
0dbd4544591dcc17,SGA,Interior,Técnico em Assuntos Educacionais,Classe E,RSC-V,RSC-V,Deferido
1002db360a71a185,SGA,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
fe24d2d737a0e1fa,RE,Capital,Médico,Classe E,RSC-V,RSC-V,Deferido
97b04ec2ce60cebd,PAR,Interior,Médico,Classe E,RSC-VI,RSC-VI,Deferido
6446b90918051020,CM,Interior,Médico,Classe E,RSC-VI,RSC-VI,Deferido
93921842ed66153e,SC,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
592f059fb70af88c,PAR,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
5065f907d41e8cbc,CH,Capital,Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,Deferido
b993455f5f17e49b,ZN,Capital,Técnico em Enfermagem,Classe D,RSC-V,RSC-V,Deferido
6e4044e037c427d8,RE,Capital,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
d2cb17cb2f51d64c,PAR,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
a28fd86bae5b0403,ZN,Capital,Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,Deferido
88c415be153441b5,CH,Capital,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
ed2e8821bd80db1b,MO,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
05bbc3e8e58ff443,JC,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
8f32224d3fa7b729,NC,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
9dc42711606ed749,ZL,Capital,Auxiliar em Administração,Classe C,RSC-VI,RSC-VI,Deferido
d980ab0090757344,CNAT,Capital,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
ac9caafb9c0aa5df,IP,Interior,Zootecnista,Classe E,RSC-VI,RSC-VI,Deferido
e74381973a5fbd79,CNAT,Capital,Administrador,Classe E,RSC-VI,RSC-VI,Deferido
5225905cc30cb201,CNAT,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
71cab5ec2ba7c1f7,AP,Interior,Técnico em Enfermagem,Classe D,RSC-V,RSC-V,Deferido
ec9324a317e6445c,ZL,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
2d4679e0e0073755,ZL,Capital,Técnico em Audiovisual,Classe D,RSC-V,RSC-V,Deferido
b9ac6c8c9e78093b,MO,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
3e683b54136a97eb,SC,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
b0f4892f699733c2,CH,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
97d1fb95a826633d,CNAT,Capital,Pedagogo,Classe E,RSC-VI,RSC-VI,Deferido
9c7093a5e8c7f51d,CNAT,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
75a76be3ea163035,SPP,Interior,Assistente de Aluno,Classe C,RSC-III,RSC-III,Deferido
c647981e3042b6ac,CA,Interior,Técnico em Contabilidade,Classe D,RSC-VI,RSC-VI,Deferido
3e2264926b75ba33,MC,Interior,Psicólogo,Classe E,RSC-VI,RSC-VI,Deferido
2b410af38ebe4f40,PAR,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
9770282ef5cf479f,LAJ,Interior,Enfermeiro,Classe E,RSC-V,RSC-V,Deferido
1c59d4c85a33dc3e,PAAS,Interior,Técnico em Contabilidade,Classe D,RSC-VI,RSC-VI,Deferido
8a617dde4d11ab57,ZL,Capital,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
c6abc08ef8414414,NC,Interior,Odontólogo - 40 Horas,Classe E,RSC-V,RSC-V,Deferido
c257c6ad1764b8b1,MC,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
470f93b52277e13f,RE,Capital,Economista,Classe E,RSC-VI,RSC-VI,Deferido
cffb5716c8007df9,SPP,Interior,Assistente Social,Classe E,RSC-V,RSC-V,Deferido
