id_anonimo,cargo,lotacao,tipo_campus
181,NUTRICIONISTA-HABILITACAO (PCIFE) - 701055,CM,Interior
182,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/CANG,Interior
183,ODONTOLOGO - 30H - DEC JUD (PCIFE) - 701093,DG/PAR,Interior
184,PSICOLOGO-AREA (PCIFE) - 701060,DG/ZN,Capital
185,ADMINISTRADOR (PCIFE) - 701001,RE,Capital
186,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CA,Interior
187,ASSISTENTE SOCIAL (PCIFE) - 701006,CM,Interior
188,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,DG/PAAS,Interior
189,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/IP,Interior
190,ASSISTENTE DE LABORATORIO (PCIFE) - 701437,DG/SPO,Interior
191,DECORADOR (PCIFE) - 701017,RE,Capital
192,ECONOMISTA (PCIFE) - 701026,RE,Capital
193,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/MO,Interior
194,OPERADOR DE MAQ DE LAVANDERIA (PCIFE) - 701828,DG/CNAT,Capital
195,ANALISTA DE TEC DA INFORMACAO (PCIFE) - 701062,RE,Capital
196,ANALISTA DE TEC DA INFORMACAO (PCIFE) - 701062,RE,Capital
197,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/LAJ,Interior
198,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/JUC,Interior
199,AUX EM ADMINISTRACAO (PCIFE) - 701405,CSGA,Interior
200,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/MO,Interior
201,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/PF,Interior
202,AUX EM ADMINISTRACAO (PCIFE) - 701405,RE,Capital
203,PSICOLOGO-AREA (PCIFE) - 701060,DG/MC,Interior
204,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,RE,Capital
205,PSICOLOGO-AREA (PCIFE) - 701060,DG/CNAT,Capital
206,PSICOLOGO-AREA (PCIFE) - 701060,DG/PF,Interior
207,ADMINISTRADOR (PCIFE) - 701001,CM,Interior
208,ADMINISTRADOR (PCIFE) - 701001,CCAL,Capital
209,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,CCAL,Capital
210,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,CCAL,Capital
211,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/JUC,Interior
212,DIAGRAMADOR (PCIFE) - 701205,RE,Capital
213,TECNICO EM AUDIOVISUAL (PCIFE) - 701221,DG/ZL,Capital
214,ADMINISTRADOR (PCIFE) - 701001,DG/LAJ,Interior
215,TEC DE TECNOLOGIA DA INFORMACAO (PCIFE) - 701226,DG/MC,Interior
216,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/JC,Interior
217,PEDAGOGO-AREA (PCIFE) - 701058,DG/CNAT,Capital
218,BIBLIOTECARIO-DOCUMENTALISTA (PCIFE) - 701010,DG/AP,Interior
219,TECNICO EM SECRETARIADO (PCIFE) - 701275,RE,Capital
220,PSICOLOGO-AREA (PCIFE) - 701060,RE,Capital
221,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,CCAL,Capital
222,ODONTOLOGO - 30H - DEC JUD (PCIFE) - 701093,DG/CN,Interior
223,ODONTOLOGO - 40 HORAS (PCIFE) - 701064,DG/CNAT,Capital
224,TELEFONISTA (PCIFE) - 701464,DG/CNAT,Capital
225,ADMINISTRADOR (PCIFE) - 701001,DG/CA,Interior
226,CONTADOR (PCIFE) - 701015,RE,Capital
227,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,RE,Capital
228,PEDAGOGO-AREA (PCIFE) - 701058,DG/PAR,Interior
229,TEC DE TECNOLOGIA DA INFORMACAO (PCIFE) - 701226,DG/IP,Interior
230,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/AP,Interior
231,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PAAS,Interior
232,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CA,Interior
233,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,CCAL,Capital
234,PEDAGOGO-AREA (PCIFE) - 701058,DG/SC,Interior
235,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,CSGA,Interior
236,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CN,Interior
237,ARQUITETO E URBANISTA (PCIFE) - 701004,RE,Capital
238,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CA,Interior
239,PSICOLOGO-AREA (PCIFE) - 701060,RE,Capital
240,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,DG/MO,Interior
241,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,DG/CN,Interior
242,ADMINISTRADOR (PCIFE) - 701001,CCAL,Capital
243,ENFERMEIRO-AREA (PCIFE) - 701029,CNAT,Capital
244,PEDAGOGO-AREA (PCIFE) - 701058,DG/CNAT,Capital
245,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/MC,Interior
246,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/CNAT,Capital
247,TECNICO EM CONTABILIDADE (PCIFE) - 701224,DG/SPO,Interior
248,SECRETARIO EXECUTIVO (PCIFE) - 701076,RE,Capital
249,ARQUIVISTA (PCIFE) - 701005,DG/CNAT,Capital
250,ENGENHEIRO-AREA (PCIFE) - 701031,DG/JC,Interior
251,MEDICO - PCCTAE (PCMED) - 647001,RE,Capital
252,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/CNAT,Capital
253,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/SC,Interior
254,ENGENHEIRO-AREA (PCIFE) - 701031,DG/AP,Interior
255,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/SPO,Interior
256,TECNICO EM ENFERMAGEM (PCIFE) - 701233,DG/PAR,Interior
257,ASSISTENTE DE LABORATORIO (PCIFE) - 701437,DG/CN,Interior
258,ENGENHEIRO-AREA (PCIFE) - 701031,DG/CANG,Interior
259,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CANG,Interior
260,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/ZN,Capital
261,ASSISTENTE DE ALUNO (PCIFE) - 701403,CM,Interior
262,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/SPO,Interior
263,TECNICO EM AUDIOVISUAL (PCIFE) - 701221,DG/CNAT,Capital
264,AUX EM ADMINISTRACAO (PCIFE) - 701405,RE,Capital
265,BIBLIOTECARIO-DOCUMENTALISTA (PCIFE) - 701010,DG/IP,Interior
266,ADMINISTRADOR (PCIFE) - 701001,RE,Capital
267,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/PF,Interior
268,PEDAGOGO-AREA (PCIFE) - 701058,DG/CNAT,Capital
269,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,CCAL,Capital
270,AUDITOR (PCIFE) - 701009,RE,Capital
271,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/MC,Interior
272,MEDICO - PCCTAE (PCMED) - 647001,DG/JC,Interior
273,AUXILIAR EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701408,PAR,Interior
274,CONTADOR (PCIFE) - 701015,DG/SC,Interior
275,TEC DE TECNOLOGIA DA INFORMACAO (PCIFE) - 701226,DG/CNAT,Capital
276,TEC DE TECNOLOGIA DA INFORMACAO (PCIFE) - 701226,DG/PAR,Interior
277,NUTRICIONISTA-HABILITACAO (PCIFE) - 701055,DG/JUC,Interior
278,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PF,Interior
279,TELEFONISTA (PCIFE) - 701464,DG/CNAT,Capital
280,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CNAT,Capital
281,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PF,Interior
282,AUX EM ADMINISTRACAO (PCIFE) - 701405,DG/JC,Interior
283,MARCENEIRO (PCIFE) - 701640,DG/IP,Interior
284,ASSISTENTE DE ALUNO (PCIFE) - 701403,CCAL,Capital
285,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,CM,Interior
286,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/CANG,Interior
287,ASSISTENTE DE LABORATORIO (PCIFE) - 701437,DG/CNAT,Capital
288,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/CNAT,Capital
289,AUXILIAR DE BIBLIOTECA (PCIFE) - 701409,DG/CA,Interior
290,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PF,Interior
291,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
292,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/AP,Interior
293,SERVENTE DE LIMPEZA (PCIFE) - 701823,DG/MO,Interior
294,PEDAGOGO-AREA (PCIFE) - 701058,DG/CNAT,Capital
295,MECANICO (PCIFE) - 701441,DG/CNAT,Capital
296,ANALISTA DE TEC DA INFORMACAO (PCIFE) - 701062,RE,Capital
297,ELETRICISTA (PCIFE) - 701427,DG/PAR,Interior
298,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,DG/CNAT,Capital
299,AUXILIAR DE LABORATORIO (PCIFE) - 701619,RE,Capital
300,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CN,Interior
301,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/MC,Interior
302,AUX EM ADMINISTRACAO (PCIFE) - 701405,RE,Capital
303,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/SC,Interior
304,AUX EM ADMINISTRACAO (PCIFE) - 701405,DG/PAR,Interior
305,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/MC,Interior
306,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/CN,Interior
307,MECANICO (PCIFE) - 701441,DG/CNAT,Capital
308,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/JC,Interior
309,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CANG,Interior
310,PSICOLOGO-AREA (PCIFE) - 701060,DG/SC,Interior
311,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/SPO,Interior
